Timestamp,Mean,Median
2022-10-25 00:00:00+00:00,241.92,152.0
2022-10-25 01:00:00+00:00,242.02666666666667,144.0
2022-10-25 02:00:00+00:00,230.45333333333332,138.0
2022-10-25 03:00:00+00:00,200.98666666666668,136.0
2022-10-25 04:00:00+00:00,206.58666666666667,142.0
2022-10-25 05:00:00+00:00,275.25333333333333,194.0
2022-10-25 06:00:00+00:00,251.4933333333333,194.0
2022-10-25 07:00:00+00:00,234.45333333333332,178.0
2022-10-25 08:00:00+00:00,373.6,198.0
2022-10-25 09:00:00+00:00,333.25333333333333,188.0
2022-10-25 10:00:00+00:00,374.0,176.0
2022-10-25 11:00:00+00:00,369.8933333333333,220.0
2022-10-25 12:00:00+00:00,355.0933333333333,164.0
2022-10-25 13:00:00+00:00,339.68,172.0
2022-10-25 14:00:00+00:00,285.41333333333336,182.0
2022-10-25 15:00:00+00:00,285.2266666666667,178.0
2022-10-25 16:00:00+00:00,281.94666666666666,196.0
2022-10-25 17:00:00+00:00,434.16,266.0
2022-10-25 18:00:00+00:00,602.2133333333334,342.0
2022-10-25 19:00:00+00:00,443.04,342.0
2022-10-25 20:00:00+00:00,373.12,242.0
2022-10-25 21:00:00+00:00,315.94666666666666,238.0
2022-10-25 22:00:00+00:00,243.46666666666667,190.0
2022-10-25 23:00:00+00:00,253.68,172.0
