utc_timestamp,FR_heat_demand_space_SFH,FR_heat_demand_water,FR_COP_ASHP_water,FR_COP_GSHP_floor
2015-01-15 00:00:00+00:00,12158.0,2986.0,"2,46","4,9"
2015-01-15 01:00:00+00:00,12777.0,2923.0,"2,46","4,91"
2015-01-15 02:00:00+00:00,14379.0,3256.0,"2,47","4,93"
2015-01-15 03:00:00+00:00,18155.0,5410.0,"2,47","4,96"
2015-01-15 04:00:00+00:00,24716.0,11030.0,"2,48","4,98"
2015-01-15 05:00:00+00:00,30424.0,14255.0,"2,49","5,02"
2015-01-15 06:00:00+00:00,29032.0,13495.0,"2,5","5,02"
2015-01-15 07:00:00+00:00,27356.0,10511.0,"2,51","5,05"
2015-01-15 08:00:00+00:00,25127.0,10083.0,"2,53","5,1"
2015-01-15 09:00:00+00:00,23480.0,9435.0,"2,57","5,21"
2015-01-15 10:00:00+00:00,22032.0,9260.0,"2,6","5,31"
2015-01-15 11:00:00+00:00,21758.0,8951.0,"2,62","5,4"
2015-01-15 12:00:00+00:00,22363.0,7402.0,"2,63","5,46"
2015-01-15 13:00:00+00:00,23101.0,7071.0,"2,63","5,48"
2015-01-15 14:00:00+00:00,24533.0,6456.0,"2,62","5,46"
2015-01-15 15:00:00+00:00,25630.0,6782.0,"2,59","5,42"
2015-01-15 16:00:00+00:00,26901.0,7668.0,"2,56","5,34"
2015-01-15 17:00:00+00:00,27904.0,7687.0,"2,54","5,28"
2015-01-15 18:00:00+00:00,28034.0,8238.0,"2,53","5,24"
2015-01-15 19:00:00+00:00,26543.0,8636.0,"2,51","5,2"
2015-01-15 20:00:00+00:00,23296.0,7727.0,"2,5","5,16"
2015-01-15 21:00:00+00:00,16336.0,5795.0,"2,49","5,11"
2015-01-15 22:00:00+00:00,12388.0,3534.0,"2,48","5,08"
2015-01-15 23:00:00+00:00,12498.0,2675.0,"2,47","5,02"
