Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,31,71,32,0,0,0,0
0,0,0,68,239,284,234,99,13,0,0,0
0,0,112,554,769,785,699,566,391,63,0,0
0,168,765,1347,1502,1504,1414,1315,1132,712,137,0
423,935,1516,2112,2156,2155,2080,2049,1857,1327,781,393
935,1430,2048,2647,2650,2624,2565,2568,2317,1756,1140,886
1264,1797,2413,2994,2940,2891,2820,2867,2683,2111,1466,1186
1461,2055,2717,3166,3049,3075,2985,3032,2854,2325,1604,1323
1443,2115,2725,3060,2952,3014,2943,2948,2747,2159,1484,1269
1219,1761,2338,2701,2673,2728,2650,2657,2402,1788,1226,1016
855,1351,1897,2211,2278,2399,2336,2233,1928,1323,826,610
316,888,1380,1664,1751,1884,1867,1750,1391,779,187,68
0,136,693,963,1096,1227,1247,1088,664,79,0,0
0,0,57,294,449,569,584,405,67,0,0,0
0,0,0,10,104,192,180,40,0,0,0,0
0,0,0,0,0,18,9,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
